,MSSV,NamSinh,GioiTinh,NoiSinh,Lopsh,Khoa,Hedt,KhoaHoc,ChuyenNganh2,TinhTrang,DiaChi_TinhTP
7221,01759300XPvAibaEXe/kSDDr/jkTQ8zO4LPi0cuK,2001.0,1.0, 'Quảng Ngãi', KHCL2019.1, KHMT, CLC,14.0, D480101,1.0, 'Tỉnh Quảng Ngãi'
7222,F18D4D2FXPvAibaEXe/kSDDr/jkTQ7sEK9dQF8+7,2001.0,1.0, 'Nghệ An', KTMT2019, KTMT, CQUI,14.0, D520214,1.0, 'Tỉnh Nghệ An'
7223,D09EB7D5XPvAibaEXe/kSDDr/jkTQ/Q6vU8NtRUd,2001.0,1.0, 'Bình Định', KHMT2019, KHMT, CQUI,14.0, D480101,1.0, 'Huyện Hòai Nhơn'
7224,DA74BDD8XPvAibaEXe/kSDDr/jkTQzDpJ0yrwOvc,2001.0,1.0, 'Thành phố Hồ Chí Minh', KHCL2019.1, KHMT, CLC,14.0, D480101,1.0, 'Thành phố Hồ Chí Minh'
7225,913E6251XPvAibaEXe/kSDDr/jkTQ4hQPDYeoD9F,2001.0,1.0, 'Tiền Giang', MTCL2019.1, KTMT, CLC,14.0, D520214,1.0, 'Xã Bình Trưng'
7226,DCC4C259XPvAibaEXe/kSDDr/jkTQ0PoU631JFW8,2001.0,1.0, 'Nghệ An', KHMT2019, KHMT, CQUI,14.0, D480101,1.0, 'Tỉnh Nghệ An'
7227,724A230FXPvAibaEXe/kSDDr/jkTQ1LdXGrbN4mM,2001.0,1.0, 'Vĩnh Long', CNTT2019, KTTT, CQUI,14.0, D480201,1.0, 'Tỉnh Trà Vinh'
7228,5F1F56E9XPvAibaEXe+jQfayvnobXtLWDN+GGZxQ,2001.0,0.0, 'Đồng Nai', TMCL2019.1, HTTT, CLC,14.0, D52480104,1.0, 'Tỉnh Đồng Nai'
7229,24AB6739XPvAibaEXe+jQfayvnobXjPws75MqC/0,2001.0,1.0, 'Đắk Lắk', PMCL2019.2, CNPM, CLC,14.0, D480103,2.0, 'Tỉnh Đắk Lắk'
7230,4DDCC570XPvAibaEXe+jQfayvnobXsVgYc9Mm2p9,2001.0,1.0, 'Đắk Lắk', KHCL2019.1, KHMT, CLC,14.0, D480101,1.0, 'Tỉnh Đắk Lắk'
